critic,fresh,imdb,publication,quote,review_date,rtid,title
Rita Kempley,rotten,113492.0,Washington Post,"Aside from the affable Schneider and the able Lane, the cast seems to be in deep shock. Um, make that Dredd lock.",2000-01-01,13602.0,Judge Dredd
Susan Wloszczyna,rotten,113492.0,USA Today,"Never has such a big, dumb movie seemed so small, as it shrinks from Blade Runner sharp to Jetsonian junky.",2000-01-01,13602.0,Judge Dredd
Brian Lowry,none,113500.0,Variety,,2012-02-23,11590.0,Jury Duty
Lisa Schwarzbaum,rotten,113500.0,Entertainment Weekly,,2011-09-07,11590.0,Jury Duty
,none,113500.0,Variety,,2009-03-26,11590.0,Jury Duty
Janet Maslin,none,113500.0,New York Times,,2003-05-20,11590.0,Jury Duty
,none,113500.0,Globe and Mail,,2002-04-12,11590.0,Jury Duty
,none,113500.0,Los Angeles Times,,2001-02-13,11590.0,Jury Duty
Desson Thomson,none,113500.0,Washington Post,,2000-01-01,11590.0,Jury Duty
Peter Stack,none,113500.0,San Francisco Chronicle,,2000-01-01,11590.0,Jury Duty
Hal Hinson,none,113500.0,Washington Post,,2000-01-01,11590.0,Jury Duty
,rotten,113500.0,USA Today,,2000-01-01,11590.0,Jury Duty
Roger Ebert,rotten,113500.0,Chicago Sun-Times,,2000-01-01,11590.0,Jury Duty
Todd McCarthy,none,113729.0,Variety,,2012-02-23,770687255.0,Mad Love
Leonard Klady,none,113749.0,Variety,,2009-03-26,13599.0,Mallrats
Derek Adams,none,113749.0,Time Out,,2006-06-24,13599.0,Mallrats
Janet Maslin,rotten,113749.0,New York Times,"Mallrats mixes clever bits and an appealing quirkiness (which goes a long way) with gross-out practical jokes, needless repetition and obvious padding, since it has no real plot.",2003-05-20,13599.0,Mallrats
Peter Stack,none,113749.0,San Francisco Chronicle,"The movie has a few amusing '70s references and there's a wonderfully weird sequence featuring a topless fortune-teller. Overall, though, moviegoers can find much better deals.",2002-06-18,13599.0,Mallrats
,none,113749.0,Globe and Mail,,2002-04-12,13599.0,Mallrats
Kenneth Turan,rotten,113749.0,Los Angeles Times,"If the Sundance Institute or the AFI ever offers a course advising directors of successful first films what to avoid the second time around, Mallrats could be at the heart of the curriculum.",2001-02-13,13599.0,Mallrats
Roger Ebert,rotten,113749.0,Chicago Sun-Times,The fatal flaw in plotting the material is that we don't care.,2000-01-01,13599.0,Mallrats
,rotten,113749.0,USA Today,"Smith has slicked up his follow-up vision of Slackerville USA, but the outcome is nowhere near as brash and original.",2000-01-01,13599.0,Mallrats
Desson Thomson,rotten,113749.0,Washington Post,"Between the routines and retorts, there's a lot of narrative dead air -- and far too many new guests.",2000-01-01,13599.0,Mallrats
James Berardinelli,rotten,113749.0,ReelViews,"Despite a broad range of effective comedy and a decent laugh-per-minute ratio, Mallrats is likely to be a moderate disappointment for anyone who guffawed their way through the previous film.",2000-01-01,13599.0,Mallrats
Hal Hinson,fresh,113749.0,Washington Post,"A disjointed but infectious series of comic vignettes, toilet humor, practical jokes, sight gags, even a sort of grunge variation on Keystone Kops slapstick.",2000-01-01,13599.0,Mallrats
Susan Stark,rotten,113749.0,Detroit News,,2000-01-01,13599.0,Mallrats
,fresh,113749.0,Entertainment Weekly,,1995-10-20,13599.0,Mallrats
,none,113820.0,Variety,,2012-02-23,11319.0,Mighty Morphin Power Rangers: The Movie
Owen Gleiberman,fresh,113820.0,Entertainment Weekly,,2011-09-07,11319.0,Mighty Morphin Power Rangers: The Movie
Joe Leydon,none,113820.0,Variety,,2008-10-18,11319.0,Mighty Morphin Power Rangers: The Movie
Derek Adams,none,113820.0,Time Out,,2006-06-24,11319.0,Mighty Morphin Power Rangers: The Movie
Caryn James,rotten,113820.0,New York Times,"Noisy and meant for children only. A bored grown-up's only consolation is that the Rangers' popularity has probably peaked, and the next kiddie phenomenon must be on the way. Don't even think about what it will cost.",2003-05-20,11319.0,Mighty Morphin Power Rangers: The Movie
Kevin Thomas,fresh,113820.0,Los Angeles Times,"Brings the popular TV series to the screen with a barrage of spectacular special effects, a slew of fantastic monsters, a ferociously funny villain -- and, most important, a refreshing lack of pretentiousness.",2001-02-13,11319.0,Mighty Morphin Power Rangers: The Movie
Kevin McManus,fresh,113820.0,Washington Post,"The movie bolts along at a breakneck pace, from an opening sky diving scene to the climactic battle, which finds Ooze cackling away in the cockpit of a mechanical dinosaur.",2000-01-01,11319.0,Mighty Morphin Power Rangers: The Movie
Roger Ebert,rotten,113820.0,Chicago Sun-Times,"What depresses me inutterably is that children, who are fresh and inquisitive, will go to this movie and, for 88 minutes, the movie will do what it can to deaden their imaginations.",2000-01-01,11319.0,Mighty Morphin Power Rangers: The Movie
,fresh,113820.0,USA Today,"Young fans of the six squeaky-clean super teens can look forward to an effects-loaded, energetic adventure that powers up martial-arts acrobatics as it cuts the cheesiness.",2000-01-01,11319.0,Mighty Morphin Power Rangers: The Movie
Mick LaSalle,rotten,113820.0,San Francisco Chronicle,"These are the same performers who appear on the TV show, and you get the feeling this has become more than a meal ticket for them. Hokey dialogue is invested with an intensity that takes you out of the movie and into the psyches of the actors.",2000-01-01,11319.0,Mighty Morphin Power Rangers: The Movie
Frank Ahrens,fresh,113820.0,Washington Post,The production values are much higher than those of the TV shows.,2000-01-01,11319.0,Mighty Morphin Power Rangers: The Movie
,fresh,113820.0,Entertainment Weekly,,1995-06-30,11319.0,Mighty Morphin Power Rangers: The Movie
,none,113851.0,Time Out,,2006-02-09,14455.0,Moonlight and Valentino
Stephen Holden,none,113851.0,New York Times,,2003-05-20,14455.0,Moonlight and Valentino
Jack Mathews,none,113851.0,Los Angeles Times,,2002-08-15,14455.0,Moonlight and Valentino
Peter Stack,none,113851.0,San Francisco Chronicle,,2002-06-18,14455.0,Moonlight and Valentino
,none,113851.0,Globe and Mail,,2002-04-12,14455.0,Moonlight and Valentino
Roger Ebert,rotten,113851.0,Chicago Sun-Times,,2000-01-01,14455.0,Moonlight and Valentino
Desson Thomson,none,113851.0,Washington Post,,2000-01-01,14455.0,Moonlight and Valentino
James Berardinelli,rotten,113851.0,ReelViews,,2000-01-01,14455.0,Moonlight and Valentino
Hal Hinson,none,113851.0,Washington Post,,2000-01-01,14455.0,Moonlight and Valentino
,rotten,113851.0,USA Today,"Moonlight and Valentino is a Hallmark sympathy card of a film, pretty to look at with a message that's sincere. Yet it's hard to take its pretentious platitudes of grief and recovery too personally.",2000-01-01,14455.0,Moonlight and Valentino
Lisa Schwarzbaum,fresh,110604.0,Entertainment Weekly,,2011-09-07,15044.0,Mute Witness
Emanuel Levy,fresh,110604.0,Variety,"Waller's witty, well-crafted yet unpretentious thriller--about American youths who make a movie in Moscow and get involved with the underworld--is a seductive piece of filmmaking that should keep viewers hyperventilating to the last reel.",2006-11-19,15044.0,Mute Witness
Derek Adams,none,110604.0,Time Out,,2006-02-09,15044.0,Mute Witness
Janet Maslin,none,110604.0,New York Times,,2003-05-20,15044.0,Mute Witness
Kevin Thomas,none,110604.0,Los Angeles Times,,2002-08-15,15044.0,Mute Witness
,none,110604.0,Globe and Mail,,2002-04-12,15044.0,Mute Witness
Mike Clark,fresh,110604.0,USA Today,"Though this slight but agreeable nail-biter loses a couple steps before its wrap-up, it's not before offering one of the funniest variations yet on the furious neighbor who wonders what's going on in the upstairs apartment.",2000-01-01,15044.0,Mute Witness
Susan Stark,fresh,110604.0,Detroit News,,2000-01-01,15044.0,Mute Witness
Peter Stack,none,110604.0,San Francisco Chronicle,,2000-01-01,15044.0,Mute Witness
Roger Ebert,fresh,110604.0,Chicago Sun-Times,,2000-01-01,15044.0,Mute Witness
Rita Kempley,none,110604.0,Washington Post,,2000-01-01,15044.0,Mute Witness
James Berardinelli,rotten,110604.0,ReelViews,,2000-01-01,15044.0,Mute Witness
Desson Thomson,none,110604.0,Washington Post,,2000-01-01,15044.0,Mute Witness
,fresh,110604.0,Entertainment Weekly,,1995-09-15,15044.0,Mute Witness
Jonathan Rosenbaum,rotten,113957.0,Chicago Reader,A thriller without thrills.,2011-01-14,12771.0,The Net
Variety Staff,fresh,113957.0,Variety,"Riddled with more coincidences and implausibilities than Hitchcock permitted himself in his entire career, The Net still gets by as a reasonably suspenseful, very au courant thriller.",2009-03-26,12771.0,The Net
,rotten,113957.0,Time Out,"Pretty soon she's fleeing from her gun-wielding seducer, trying to recover an identity that's being systematically erased through alteration of her personal computer records, and dodging bullets on spinning carousels.",2006-01-26,12771.0,The Net
Caryn James,fresh,113957.0,New York Times,"The Net is never quite as sleek and chilling as it might have been, but it gives the old story of a wrongly accused innocent a nerve-wracking 90's twist.",2004-08-30,12771.0,The Net
Mick LaSalle,fresh,113957.0,San Francisco Chronicle,"A strong enough suspense thriller, a high-tech version of one of those spiraling nightmares in which an innocent person is chased by assassins and wanted by the police.",2002-06-18,12771.0,The Net
Hal Hinson,rotten,113957.0,Washington Post,The story is standard issue pepped up with a sampling of smart computer talk to give the impression the characters know what they're talking about.,2000-01-01,12771.0,The Net
Desson Thomson,rotten,113957.0,Washington Post,"Unfortunately, in movie theaters, as of now, there are no DELETE buttons.",2000-01-01,12771.0,The Net
Roger Ebert,fresh,113957.0,Chicago Sun-Times,"This stuff is so concocted I had no business caring about it. But I did, because of Bullock.",2000-01-01,12771.0,The Net
Susan Wloszczyna,rotten,113957.0,USA Today,"Reminiscent of a slew of films, including The Pelican Brief and The Fugitive, The Net -- ploddingly directed by Irwin Winkler -- is frustratingly average in almost every other respect.",2000-01-01,12771.0,The Net
James Berardinelli,rotten,113957.0,ReelViews,"Borrowing heavily from Alfred Hitchcock and John Grisham, director Irwin Winkler reduces a potentially-fascinating premise to the spearhead of a routine thriller.",2000-01-01,12771.0,The Net
Owen Gleiberman,fresh,113957.0,Entertainment Weekly,"As an actress, Bullock has it all -- heart and soul, and mind, too.",1995-07-28,12771.0,The Net
Owen Gleiberman,fresh,113986.0,Entertainment Weekly,,2011-09-07,11045.0,Nine Months
Todd McCarthy,none,113986.0,Variety,,2009-03-26,11045.0,Nine Months
,none,113986.0,Time Out,,2006-01-26,11045.0,Nine Months
Janet Maslin,none,113986.0,New York Times,,2003-05-20,11045.0,Nine Months
Peter Stack,rotten,113986.0,San Francisco Chronicle,,2002-06-18,11045.0,Nine Months
,none,113986.0,Globe and Mail,,2002-04-12,11045.0,Nine Months
Kenneth Turan,none,113986.0,Los Angeles Times,,2001-02-13,11045.0,Nine Months
James Berardinelli,rotten,113986.0,ReelViews,,2000-01-01,11045.0,Nine Months
Desson Thomson,none,113986.0,Washington Post,,2000-01-01,11045.0,Nine Months
Rita Kempley,none,113986.0,Washington Post,,2000-01-01,11045.0,Nine Months
,rotten,113986.0,USA Today,"Writer/director Chris Columbus delivers his usual slapstick and sap shtick, but the sitcom-slick results fall flat.",2000-01-01,11045.0,Nine Months
Roger Ebert,rotten,113986.0,Chicago Sun-Times,,2000-01-01,11045.0,Nine Months
,fresh,113986.0,Entertainment Weekly,,1995-07-14,11045.0,Nine Months
Owen Gleiberman,fresh,114095.0,Entertainment Weekly,"Mary is a spiritual descendant of Holly Golightly, and there's an echo, as well, of Edie Sedgwick, the late Andy Warhol superstar who moved the American-princess-on-a-bender mythology into the drug-rock era.",2008-05-27,16653.0,Party Girl
Todd McCarthy,fresh,114095.0,Variety,Party Girl aspires to be cinematic champagne but comes out tasting more like sparkling cider.,2008-05-27,16653.0,Party Girl
Jonathan Rosenbaum,rotten,114095.0,Chicago Reader,"This exudes trendiness at regular intervals, and otherwise manages to be reasonably charming about Manhattan's melting pot culture, but my general response was still 'Wake me when it's over.'",2008-05-27,16653.0,Party Girl
Stephen Holden,rotten,114095.0,New York Times,"The screenplay, by Ms. Mayer and Harry Birckmayer, has its occasionally funny lines, but not nearly enough to certify the film as a hip urban comedy in tune with the cutting edge of downtown New York.",2003-05-20,16653.0,Party Girl
Liam Lacey,rotten,114095.0,Globe and Mail,"If bad behaviour and smugness were truly charming, Party Girl might be as much fun as it imagines it is. And Madonna might even have a decent movie career.",2002-04-12,16653.0,Party Girl
Peter Travers,fresh,114095.0,Rolling Stone,"What makes it delicious fun is Posey, a party girl for the ages.",2001-05-12,16653.0,Party Girl
Peter Rainer,fresh,114095.0,Los Angeles Times,"Unlike most of the Hollywood Gen X movies, Party Girl actually looks as if it were made from the inside.",2001-02-13,16653.0,Party Girl
Edward Guthmann,rotten,114095.0,San Francisco Chronicle,"If Party Girl weren't so contrived, and if Posey didn't exude such cold hauteur, all of that might have worked.",2000-01-01,16653.0,Party Girl
Hal Hinson,fresh,114095.0,Washington Post,"The movie is poppy, clever and more than enjoyable, but Posey is something else altogether. She's a revelation.",2000-01-01,16653.0,Party Girl
Roger Ebert,rotten,114095.0,Chicago Sun-Times,"It's a showcase leading role for Parker Posey, who obviously has the stuff, and generates wacky charm. But the movie never pulls itself together.",2000-01-01,16653.0,Party Girl
,fresh,114095.0,USA Today,"Though it doesn't exactly bowl you over with its ambitions, this teensy but breezy sleeper can at least be mentioned in a breath with two memorable predecessors it recalls ... Breakfast at Tiffany's.",2000-01-01,16653.0,Party Girl
Desson Thomson,fresh,114095.0,Washington Post,Hip and contemporary without being archly so.,2000-01-01,16653.0,Party Girl
Owen Gleiberman,rotten,114194.0,Entertainment Weekly,,2011-09-07,13074.0,The Prophecy
Eric Hansen,none,114194.0,Variety,,2009-03-26,13074.0,The Prophecy
,none,114194.0,Time Out,,2006-02-09,13074.0,The Prophecy
Stephen Holden,none,114194.0,New York Times,,2003-05-20,13074.0,The Prophecy
David Kronke,none,114194.0,Los Angeles Times,,2002-08-15,13074.0,The Prophecy
Hal Hinson,none,114194.0,Washington Post,,2000-01-01,13074.0,The Prophecy
Mick LaSalle,none,114194.0,San Francisco Chronicle,,2000-01-01,13074.0,The Prophecy
James Berardinelli,rotten,114194.0,ReelViews,,2000-01-01,13074.0,The Prophecy
Richard Corliss,fresh,114436.0,TIME Magazine,"Showgirls... is one of those delirious, hilarious botches that could be taught in film schools as a How Not To.",2013-06-12,16960.0,Showgirls
Anthony Lane,fresh,114436.0,New Yorker,"Berkley's acting debut is a joy, if you can call it acting: she jumps up and down a lot to indicate excitement.",2013-06-12,16960.0,Showgirls
Jay Boyar,rotten,114436.0,Orlando Sentinel,"One thing I'll say for Showgirls, it's educational. But sadly, it isn't much else.",2013-06-12,16960.0,Showgirls
Owen Gleiberman,rotten,114436.0,Entertainment Weekly,,2011-09-07,16960.0,Showgirls
Stanley Kauffmann,none,114436.0,The New Republic,,2009-05-27,16960.0,Showgirls
Derek Adams,none,114436.0,Time Out,,2006-06-24,16960.0,Showgirls
,none,114436.0,Hollywood Reporter,,2004-09-25,16960.0,Showgirls
Janet Maslin,none,114436.0,New York Times,,2003-05-20,16960.0,Showgirls
Rick Groen,rotten,114436.0,Globe and Mail,The script -- a generic blend mixing the soap of All About Eve with the suds of Valley of the Dolls -- is replete with the clunkiest dialogue this side of Peyton Place.,2002-04-12,16960.0,Showgirls
Kenneth Turan,rotten,114436.0,Los Angeles Times,A film of thunderous oafishness that gives adult subject matter the kind of bad name it does not need or deserve.,2001-02-13,16960.0,Showgirls
Desson Thomson,rotten,114436.0,Washington Post,To take Showgirls that seriously (as either trash-art or appalling pornography) wouldn't be worth the exertion.,2000-01-01,16960.0,Showgirls
Susan Wloszczyna,rotten,114436.0,USA Today,"[The script] is as hoary as it is whore-y, whipping out every backstage cliche as he recycles his Flashdance plot into Trashdance.",2000-01-01,16960.0,Showgirls
Mick LaSalle,rotten,114436.0,San Francisco Chronicle,"Think of Flashdance but with an unappealing leading lady playing a woman whose fierce ambition is to do something not admirable, just ridiculous.",2000-01-01,16960.0,Showgirls
Roger Ebert,rotten,114436.0,Chicago Sun-Times,A waste of a perfectly good NC-17 rating.,2000-01-01,16960.0,Showgirls
James Berardinelli,rotten,114436.0,ReelViews,One of the worst films of the year.,2000-01-01,16960.0,Showgirls
Rita Kempley,rotten,114436.0,Washington Post,An overcoat movie for men who don't want to be seen going into a porno theater.,2000-01-01,16960.0,Showgirls
,rotten,114436.0,Entertainment Weekly,,1995-09-22,16960.0,Showgirls
Lisa Schwarzbaum,fresh,114478.0,Entertainment Weekly,,2011-09-07,14110.0,Smoke
David Stratton,none,114478.0,Variety,,2008-10-22,14110.0,Smoke
Derek Adams,none,114478.0,Time Out,,2006-06-24,14110.0,Smoke
Janet Maslin,none,114478.0,New York Times,,2003-05-20,14110.0,Smoke
Edward Guthmann,none,114478.0,San Francisco Chronicle,,2002-06-18,14110.0,Smoke
,none,114478.0,Globe and Mail,,2002-04-12,14110.0,Smoke
Peter Travers,none,114478.0,Rolling Stone,,2001-05-12,14110.0,Smoke
Peter Rainer,none,114478.0,Los Angeles Times,,2001-02-13,14110.0,Smoke
Desson Thomson,none,114478.0,Washington Post,,2000-01-01,14110.0,Smoke
Rita Kempley,none,114478.0,Washington Post,,2000-01-01,14110.0,Smoke
Roger Ebert,fresh,114478.0,Chicago Sun-Times,,2000-01-01,14110.0,Smoke
James Berardinelli,fresh,114478.0,ReelViews,,2000-01-01,14110.0,Smoke
,rotten,114478.0,USA Today,"With a cigar box of subplots, this episodic yarn is more numbing than boring, though its increasingly compelling narrative has the ill-timed misfortune to collapse completely in its final talky segment.",2000-01-01,14110.0,Smoke
,fresh,114478.0,Entertainment Weekly,,1995-06-09,14110.0,Smoke
Jack Kroll,fresh,114558.0,Newsweek,Director Kathryn Bigelow comes closer than any other filmmaker to turning movies into a virtual reality trip.,2013-01-18,13697.0,Strange Days
Owen Gleiberman,fresh,114558.0,Entertainment Weekly,,2011-09-07,13697.0,Strange Days
Derek Adams,none,114558.0,Time Out,,2006-02-09,13697.0,Strange Days
Janet Maslin,none,114558.0,New York Times,,2003-05-20,13697.0,Strange Days
Rick Groen,rotten,114558.0,Globe and Mail,"Once the premise has lost its promise, and Fiennes's brave attempts at characterization are sacrificed to pseudo-dazzle, everything appears awfully humdrum and, yes, distinctly dated.",2002-04-12,13697.0,Strange Days
Peter Travers,fresh,114558.0,Rolling Stone,Undeniably thrilling and troubling.,2001-05-12,13697.0,Strange Days
Kenneth Turan,rotten,114558.0,Los Angeles Times,"Though the creators of Strange Days may well be interested in its dramatic and thematic elements, they do not have the same touch for these moments as they do for camera pyrotechnics.",2001-02-13,13697.0,Strange Days
Edward Guthmann,rotten,114558.0,San Francisco Chronicle,"Bigelow is so enamored of high-tech thrills, and so mesmerized by the violence she seeks to condemn, that her efforts at 11th-hour moralizing seem limp and halfhearted.",2000-01-01,13697.0,Strange Days
James Berardinelli,fresh,114558.0,ReelViews,"It's big, explosive entertainment and, although not directed by Cameron, is very much in the vein we've come to expect from him.",2000-01-01,13697.0,Strange Days
Roger Ebert,fresh,114558.0,Chicago Sun-Times,It's fascinating the way Bigelow is able to suggest so much of VR's impact (and dangers) within a movie - a form of VR that's a century old.,2000-01-01,13697.0,Strange Days
,fresh,114558.0,Entertainment Weekly,,1995-10-13,13697.0,Strange Days
Kenneth Turan,fresh,58450.0,Los Angeles Times,It continues to charm and delight for the same reasons it did back in 1964.,2014-03-13,22029.0,Les parapluies de Cherbourg
Michael Phillips,fresh,58450.0,Chicago Tribune,"It is a small picture, a boutique musical. But it's lovely.",2014-01-09,22029.0,Les parapluies de Cherbourg
Mark Feeney,fresh,58450.0,Boston Globe,"As spun-sugar holiday treats go, ""Umbrellas"" is hard to resist.",2013-12-27,22029.0,Les parapluies de Cherbourg
A.O. Scott,none,58450.0,New York Times,,2011-05-17,22029.0,Les parapluies de Cherbourg
,fresh,58450.0,Variety,"Seemingly banal and sentimental on the surface, [director Jacques] Demy has avoided these aspects by tasteful handling and the right balance in emotion, compassion and narrative.",2008-01-11,22029.0,Les parapluies de Cherbourg
Ben Walters,fresh,58450.0,Time Out,Umbrellas makes escapist play with the stuff of kitchen-sink social realism.,2006-02-09,22029.0,Les parapluies de Cherbourg
Bosley Crowther,rotten,58450.0,New York Times,"Not only has he resurrected the quaint and artificial device of having the dialogue set to music and unrealistically sung, but he uses this operatic method to tell a story that is so banal... it wouldn't get beyond a reader in Hollywood.",2005-01-15,22029.0,Les parapluies de Cherbourg
Kevin Thomas,fresh,58450.0,Los Angeles Times,The Umbrellas of Cherbourg has stood the test of time as beautifully as Deneuve and seems likely to enchant future generations as fully as it has audiences over the past four decades.,2004-04-22,22029.0,Les parapluies de Cherbourg
Jessica Winter,fresh,58450.0,Village Voice,A choreography of the everyday timed to Demy's floating long takes and Michel Legrand's at turns jaunty and lachrymose score.,2004-02-10,22029.0,Les parapluies de Cherbourg
Andrew Sarris,fresh,58450.0,New York Observer,Delicately bittersweet.,2004-02-05,22029.0,Les parapluies de Cherbourg
Hal Hinson,fresh,58450.0,Washington Post,A glorious romantic confection unlike any other in movie history.,2003-03-31,22029.0,Les parapluies de Cherbourg
Desson Thomson,fresh,58450.0,Washington Post,An operatic masterpiece of romanticism.,2000-01-01,22029.0,Les parapluies de Cherbourg
James Berardinelli,fresh,58450.0,ReelViews,Far more powerful than one would initially suppose.,2000-01-01,22029.0,Les parapluies de Cherbourg
Jonathan Rosenbaum,fresh,58450.0,Chicago Reader,It's a glorious sight to behold -- though don't forget to listen as well.,2000-01-01,22029.0,Les parapluies de Cherbourg
Roger Ebert,fresh,58450.0,Chicago Sun-Times,"A surprisingly effective film, touching and knowing and, like Deneuve, ageless.",2000-01-01,22029.0,Les parapluies de Cherbourg
Leonard Klady,none,114781.0,Variety,,2009-03-26,13970.0,Under Siege 2: Dark Territory
Geoff Andrew,none,114781.0,Time Out,,2006-06-24,13970.0,Under Siege 2: Dark Territory
Stephen Holden,none,114781.0,New York Times,,2003-05-20,13970.0,Under Siege 2: Dark Territory
Edward Guthmann,none,114781.0,San Francisco Chronicle,,2002-06-18,13970.0,Under Siege 2: Dark Territory
Peter Rainer,none,114781.0,Los Angeles Times,,2001-02-13,13970.0,Under Siege 2: Dark Territory
James Berardinelli,rotten,114781.0,ReelViews,,2000-01-01,13970.0,Under Siege 2: Dark Territory
Richard Harrington,none,114781.0,Washington Post,,2000-01-01,13970.0,Under Siege 2: Dark Territory
Roger Ebert,fresh,114781.0,Chicago Sun-Times,,2000-01-01,13970.0,Under Siege 2: Dark Territory
,fresh,114781.0,Entertainment Weekly,,1995-07-14,13970.0,Under Siege 2: Dark Territory
,none,114798.0,Variety,,2012-02-23,12209.0,Unstrung Heroes
Owen Gleiberman,rotten,114798.0,Entertainment Weekly,,2011-09-07,12209.0,Unstrung Heroes
Todd McCarthy,none,114798.0,Variety,,2009-03-26,12209.0,Unstrung Heroes
Geoff Andrew,none,114798.0,Time Out,,2006-06-24,12209.0,Unstrung Heroes
Janet Maslin,none,114798.0,New York Times,,2003-05-20,12209.0,Unstrung Heroes
,none,114798.0,Globe and Mail,,2002-04-12,12209.0,Unstrung Heroes
Peter Travers,none,114798.0,Rolling Stone,,2001-05-12,12209.0,Unstrung Heroes
James Berardinelli,fresh,114798.0,ReelViews,,2000-01-01,12209.0,Unstrung Heroes
Edward Guthmann,none,114798.0,San Francisco Chronicle,,2000-01-01,12209.0,Unstrung Heroes
Roger Ebert,fresh,114798.0,Chicago Sun-Times,,2000-01-01,12209.0,Unstrung Heroes
Susan Stark,rotten,114798.0,Detroit News,,2000-01-01,12209.0,Unstrung Heroes
Rita Kempley,none,114798.0,Washington Post,,2000-01-01,12209.0,Unstrung Heroes
,rotten,114798.0,Entertainment Weekly,,1995-09-15,12209.0,Unstrung Heroes
Variety Staff,fresh,43362.0,Variety,"The role of the retiring master is not an easy one, but a prize in the right hands. Michael Redgrave fills it with distinction.",2009-03-26,770671481.0,The Browning Version
Tom Milne,fresh,43362.0,Time Out,Worth watching for Redgrave's powerfully detailed performance as the schoolmaster.,2006-06-24,770671481.0,The Browning Version
Dave Kehr,rotten,43362.0,Chicago Reader,"What begins as an anti-Goodbye, Mr. Chips ends, thanks to some psychological point stretching, as an imitation of it.",2004-01-10,770671481.0,The Browning Version
Bosley Crowther,rotten,43362.0,New York Times,"The schoolmaster to whom our pity is drawn is a pretty weak and lukewarm individual, hardly fit to be a teacher of growing boys -- even a teacher of classical languages, which he is.",2003-05-20,770671481.0,The Browning Version
Michael Wilmington,fresh,112602.0,Chicago Tribune,Bushwhacked isn't much of a movie. But it made me laugh more than I'd like to admit.,2013-05-28,246223062.0,Bushwhacked
Leonard Klady,rotten,112602.0,Variety,"Riddled with noble sentiments and good intentions, this great-outdoors hijinx is hiking familiar trails with a combination of bathroom humor, cute kids and a fuzzy, happy ending.",2013-01-22,246223062.0,Bushwhacked
Caryn James,none,112602.0,New York Times,,2003-05-20,246223062.0,Bushwhacked
Peter Stack,rotten,112602.0,San Francisco Chronicle,"A little bit of Daniel Stern's mugging, dimwit style of comedy goes a long way.",2002-06-18,246223062.0,Bushwhacked
Kevin Thomas,rotten,112602.0,Los Angeles Times,"[A] strained, way, way over-the-top comedy-thriller in which its star, Daniel Stern, as the film's executive producer, gives himself free rein to mug and show off to increasingly numbing and tedious effect.",2001-02-13,246223062.0,Bushwhacked
Rita Kempley,rotten,112602.0,Washington Post,"With a little effort from viewers, Daniel Stern's dumb comedy, Bushwhacked, might bring on a smile. But don't expect anything so grand as a chuckle.",2000-01-01,246223062.0,Bushwhacked
James Berardinelli,rotten,112602.0,ReelViews,"This is an occasion when it's far better to see the trailer and skip the actual film. Once the opening credits start rolling, it's all downhill.",2000-01-01,246223062.0,Bushwhacked
Susan Wloszczyna,rotten,112602.0,USA Today,A bush-league kiddie comedy in The Mighty Ducks mode.,2000-01-01,246223062.0,Bushwhacked
Lisa Schwarzbaum,fresh,112757.0,Entertainment Weekly,,2011-09-07,10558.0,The Cure
Leonard Klady,none,112757.0,Variety,,2009-03-26,10558.0,The Cure
,none,112757.0,Time Out,,2006-06-24,10558.0,The Cure
Stephen Holden,none,112757.0,New York Times,,2004-08-30,10558.0,The Cure
Kevin Thomas,none,112757.0,Los Angeles Times,,2001-02-13,10558.0,The Cure
Susan Wloszczyna,rotten,112757.0,USA Today,Practically screams 'TV movie.',2000-01-01,10558.0,The Cure
James Berardinelli,rotten,112757.0,ReelViews,,2000-01-01,10558.0,The Cure
Roger Ebert,rotten,112757.0,Chicago Sun-Times,,2000-01-01,10558.0,The Cure
Peter Stack,none,112757.0,San Francisco Chronicle,,2000-01-01,10558.0,The Cure
Megan Rosenfeld,none,112757.0,Washington Post,,2000-01-01,10558.0,The Cure
,fresh,112757.0,Entertainment Weekly,,1995-04-21,10558.0,The Cure
Gene Siskel,rotten,109635.0,Chicago Tribune,Pure and simple trash masquerading as significance.,2014-04-25,14350.0,Disclosure
Kenneth Turan,rotten,109635.0,Los Angeles Times,Its preoccupation with snazzy computer-generated special effects has left key plot points so unclear at least one baffled viewer had to retreat to the book to find out why some things happened and others did not.,2014-04-25,14350.0,Disclosure
Terrence Rafferty,rotten,109635.0,New Yorker,"The presence of Douglas, who has made a career of being pursued by beautiful, dangerous women, turns this sexual-harassment thriller into instant camp.",2014-04-25,14350.0,Disclosure
Carrie Rickey,fresh,109635.0,Philadelphia Inquirer,"This witty, wily battle between genders is not so much about sexual harassment as it is about power politics in the workplace, where water-cooler gossip is replaced by E-mail, and where memo warfare is waged by combatants in virtual-reality goggles.",2014-04-25,14350.0,Disclosure
Jeff Shannon,fresh,109635.0,Seattle Times,"For those who would question Crichton's motives, Levinson and Attanasio haven't let men off the hook.",2014-04-25,14350.0,Disclosure
Michael Wilmington,rotten,109635.0,Chicago Tribune,"This is the least personal movie [Levinson has] made in years, and the script is more a shortening of Crichton's story than a dramatization.",2014-04-25,14350.0,Disclosure
Jay Boyar,rotten,109635.0,Orlando Sentinel,"If the best parts of Disclosure are its sideshows, its biggest drawback is that infernal infatuation the filmmakers have with technology and power.",2014-04-25,14350.0,Disclosure
